Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
1/24/19,Abc Westca,ABC*WESTCA,49,debit,Gym,Cash rewards credit card ,,
1/24/19,Uber.com,UBR* PENDING.UBER.COM,6.65,debit,Rental Car & Taxi,Cash rewards credit card ,,
1/24/19,Aramark,ARAMARK CISCO THE QUARTER,6.16,debit,Food & Dining,Cash rewards credit card ,,
1/24/19,Amazon,AMZN Pickup,16.45,debit,Shopping,Cash rewards credit card ,,
5/29/16,The Market,THE MARKET (SAFEWAY),24.52,debit,Groceries,ABCXYZDEF credit card,,
5/29/16,Voice,GOOGLE *Voice,10,debit,Uncategorized,ABCXYZDEF credit card,,
1/23/19,Discover Bank,DISCOVER BANK DES:ETRANSFER ID:XXXXX79815 INDN:ABCXYZ DOE CO…,6000,debit,Credit Card Payment,ABCXYZ,,
1/22/19,Safeway,THE MARKET (SAFEWAY) SAN JOSE CAAPPLE PAY ENDING I,10.41,debit,Groceries,Discover it Card,,
1/22/19,Costco,COSTCO WHSE #0148 SAN JOSE CA,224.76,debit,Shopping,Cash rewards credit card ,,
1/22/19,Amazon,AMZN Mktp US*MB9CP8BM1 Amzn.com/billWA,16.33,debit,Shopping,Cash rewards credit card ,,
1/22/19,Aum,AUM DES:PAYMENT ID:XXXXX90617 INDN:ABCXYZ DOE CO ID:XXXXX88580 PPD,104.63,debit,Utilities,ABCXYZ,,
1/21/19,Amazon,AMZN Mktp US*MB8QP8A72 Amzn.com/billWA,18.54,debit,Shopping,Cash rewards credit card ,,
1/21/19,Intergalactic Imports,INTERGALACTIC IMPORTS MONTEREY CA,52.41,debit,Restaurants,Cash rewards credit card ,,
1/21/19,Amazon,AMZN Mktp US*MB8P48MJ1 Amzn.com/billWA,31.04,debit,Shopping,Cash rewards credit card ,,
1/21/19,Chevron,CHEVRON 0090049 GILROY CA,37.23,debit,Gas & Fuel,Cash rewards credit card ,,
1/21/19,Scoop Tech Weekly,SCOOP TECH INC WEEKLY 14159429122 CA,2,debit,Auto & Transport,Cash rewards credit card ,,
